trial,Rhodamine,replicate,condition,Area,Mean,Int Den,CTCF,CTCF avg,bck,Area,Mean,Int Den
2,B,2,vial,11713.288,109.81,1286239.288,889767.9158,NA,2,35958.803,33.848,1217147.982
2,B,3,vial,27187.623,61.155,1662669.303,1609789.376,NA,3,8801.51,1.945,17117.725
2,B,1,vial,11986.268,33.153,397385.993,362733.6922,337192.2952,1,13897.122,2.891,40174.815
2,B,2,vial,15468.82,24.634,381065.147,353917.3679,NA,2,19025.822,1.755,33386.181
2,B,3,vial,15499.151,19.568,303279.868,294925.8256,NA,3,14804.295,0.539,7974.301
1,B,1,cont,10422.841,1.204,12546.013,11899.79686,16498.15383,1,21838.334,0.062,
1,B,2,cont,9132.394,3.318,30297.931,29302.50005,NA,2,8795.996,0.109,
1,B,3,cont,10844.718,0.799,8660.885,8292.164588,NA,3,10428.356,0.034,
1,B,1,cont,3918.216,0.652,2554.699,31.367896,370.8648133,1,3714.171,0.644,2392.704
1,B,2,cont,4384.211,0.69,3024.83,258.392859,NA,2,3460.494,0.631,2183.833
1,B,3,cont,4348.365,0.82,3566.652,822.833685,NA,3,4003.695,0.631,2527.125
1,110,1,cont,5602.967,2.201,12333.696,2707.798694,3144.730881,1,4169.137,1.718,7160.878
1,110,2,cont,7334.592,2.223,16304.302,3952.849072,NA,2,4800.573,1.684,8084.595
1,110,3,cont,6033.116,2.099,12661.822,2773.544876,NA,3,4389.726,1.639,7196.724
2,110,1,virgin,11407.221,67.285,767531.973,764029.9562,616847.513,1,9297.836,0.307,2851.116
2,110,2,virgin,5636.055,75.865,427581.902,425919.2658,NA,2,8807.025,0.295,2594.681
2,110,3,virgin,9317.138,71.191,663295.287,660593.317,NA,3,16422.869,0.29,4764.727
3,110,1,virgin,27402.698,35.201,964595.366,2499598.91,1283194.892,1,14437.565,126.418,1825174.636
3,110,2,virgin,11578.177,43.965,509031.72,500151.2582,NA,2,8594.708,0.767,6590.103
3,110,3,virgin,15303.378,64.677,989783.9,849834.5082,NA,3,12970.647,9.145,118616.347
2,B,1,virgin,17250.078,35.289,608729.782,565397.5861,930941.6108,1,8652.613,2.512,21733.554
2,B,2,virgin,14057.049,23.569,331314.002,314136.2881,NA,2,19047.88,1.222,23269.407
2,B,3,virgin,17636.109,109.614,1933166.853,1913290.958,NA,3,12446.748,1.127,14032.233
3,B,1,virgin,18457.804,28.475,525584.185,443926.8601,543634.406,1,15989.962,4.424,70740.21
